Incident_ID,Incident_Date,State,City Or County,Address,Latitude,Longitude,Killed,Injured,Operations,label_col
2202144,12/31/21,Tennessee,Memphis,Vernon Ave,35.1648493,-89.9373109,0,1,Children Involved,Killed: 0 Injured:1
2216125,12/31/21,Pennsylvania,Johnstown,Woodland Ave,40.2940996,-78.9039569,0,1,Children Involved,Killed: 0 Injured:1
2201609,12/31/21,Mississippi,Jackson,St. Charles St,32.3123965,-90.2239981,0,1,Children Involved,Killed: 0 Injured:1
2201052,12/30/21,Missouri,Kirksville,700 block of E Dodson St,40.188593,-92.5894196,3,1,Children Involved,Killed: 3 Injured:1
2199955,12/29/21,New Jersey,Newark,255 Broadway,40.7593138,-74.1689158,0,2,Children Involved,Killed: 0 Injured:2
2200643,12/29/21,Georgia,Atlanta,1783 Johnson Road NW,33.7861221,-84.4461882,0,1,Children Involved,Killed: 0 Injured:1
2200989,12/29/21,Illinois,Rockford,3300 block of Searles Ave,42.3091501,-89.1045368,1,0,Children Involved,Killed: 1 Injured:0
2201127,12/29/21,Georgia,Valdosta,1100 Old Statenville Rd,30.8205192,-83.2555545,0,3,Children Involved,Killed: 0 Injured:3
2199253,12/28/21,Illinois,East Saint Louis (Cahokia),700 block St Norbert Dr,38.5615933,-90.1892054,0,2,Children Involved,Killed: 0 Injured:2
2199601,12/28/21,South Carolina,Ridgeland,2359 Wagon Branch Loop,32.474877,-81.0471095,1,0,Children Involved,Killed: 1 Injured:0
2199532,12/28/21,Nevada,Reno,2625 Yori Ave,39.499148,-119.7938957,0,1,Children Involved,Killed: 0 Injured:1
2199856,12/28/21,Alabama,Mobile,Clark St,30.670205,-88.0919,0,2,Children Involved,Killed: 0 Injured:2
2198822,12/27/21,Texas,Houston,Rankin Rd and Imperial Valley Dr,29.9659144,-95.4036978,0,1,Children Involved,Killed: 0 Injured:1
2197452,12/26/21,Texas,Livingston,2500 block of FM 1988,30.6201019,-94.9742165,0,1,Children Involved,Killed: 0 Injured:1
2197602,12/26/21,Louisiana,New Orleans,General De Gaulle Dr and Hendee St,29.9305254,-90.0397689,1,0,Children Involved,Killed: 1 Injured:0
2196844,12/25/21,North Carolina,Hendersonville,Spicer Cove Rd,35.3813477,-82.2739008,1,0,Children Involved,Killed: 1 Injured:0
2196475,12/24/21,Missouri,Independence,500 block of S Glenwood Ave,39.106752,-94.4659582,1,0,Children Involved,Killed: 1 Injured:0
2196727,12/24/21,Florida,Orlando,9000 block of 5th Ave,28.5383832,-81.3789269,0,3,Children Involved,Killed: 0 Injured:3
2196740,12/24/21,Texas,Cypress,12500 Barker Cypress Rd,29.9607959,-95.6724605,0,1,Children Involved,Killed: 0 Injured:1
2197835,12/24/21,Indiana,Merrillville,5800 block of Van Buren St,41.5121494,-87.3448529,0,1,Children Involved,Killed: 0 Injured:1
2196846,12/24/21,Pennsylvania,Philadelphia,3100 block of N Patton St,40.0038689,-75.1814988,0,1,Children Involved,Killed: 0 Injured:1
2195589,12/23/21,Georgia,Atlanta,180 Jackson St NE,33.7585914,-84.3745154,0,1,Children Involved,Killed: 0 Injured:1
2196620,12/23/21,Ohio,Akron,N/A,41.0031773,-81.4116391,0,2,Children Involved,Killed: 0 Injured:2
