Incident_ID,Incident_Date,State,City Or County,Address,Full Address,Latitude,Longitude,Killed,Injured,Operations,label_col
2200505,12/30/21,Tennessee,Nashville,4820 Franklin Pike,Tennessee Nashville 4820 Franklin Pike,36.0793633,-86.7726183,0,0,School Incidents,Killed: 0 Injured:0
2200745,12/29/21,North Carolina,Salisbury,2300 W Innes St,North Carolina Salisbury 2300 W Innes St,35.69158,-80.483805,0,2,School Incidents,Killed: 0 Injured:2
2194948,12/21/21,Indiana,Lafayette,4951 US-231,Indiana Lafayette 4951 US-231,40.350762,-86.9032378,0,0,School Incidents,Killed: 0 Injured:0
2195935,12/20/21,Wisconsin,Green Bay,1415 E Walnut St,Wisconsin Green Bay 1415 E Walnut St,44.5071728,-87.9939513,0,0,School Incidents,Killed: 0 Injured:0
2191898,12/17/21,Virginia,Richmond,302 Azalea Ave,Virginia Richmond 302 Azalea Ave,37.6037564,-77.4329888,0,0,School Incidents,Killed: 0 Injured:0
2191688,12/17/21,Texas,Abilene,2650 S 32nd St,Texas Abilene 2650 S 32nd St,32.4130543,-99.7556706,0,0,School Incidents,Killed: 0 Injured:0
2191673,12/17/21,Iowa,Cedar Rapids,620 10th St SE,Iowa Cedar Rapids 620 10th St SE,41.979054,-91.6536023,0,0,School Incidents,Killed: 0 Injured:0
2191667,12/17/21,Tennessee,Hendersonville,204 Dolphus Dr,Tennessee Hendersonville 204 Dolphus Dr,36.2740957,-86.6146596,0,0,School Incidents,Killed: 0 Injured:0
2191652,12/17/21,Utah,Salt Lake City,840 S 1300 E,Utah Salt Lake City 840 S 1300 E,40.7508774,-111.8552749,0,0,School Incidents,Killed: 0 Injured:0
2191524,12/17/21,Florida,Hollywood (Miramar),3601 SW 89th Ave,Florida Hollywood (Miramar) 3601 SW 89th Ave,25.9761311,-80.2613317,0,0,School Incidents,Killed: 0 Injured:0
2191792,12/16/21,South Carolina,Columbia,4800 Monticello Rd,South Carolina Columbia 4800 Monticello Rd,34.0484533,-81.042188,0,0,School Incidents,Killed: 0 Injured:0
2191127,12/16/21,Illinois,Evanston,1600 Dodge Ave,Illinois Evanston 1600 Dodge Ave,42.0475443,-87.6997693,0,0,School Incidents,Killed: 0 Injured:0
2191050,12/16/21,New York,Buffalo,2885 Main St,New York Buffalo 2885 Main St,42.9433857,-78.8315398,0,0,School Incidents,Killed: 0 Injured:0
2190937,12/16/21,Ohio,Blanchester,953 Cherry St,Ohio Blanchester 953 Cherry St,39.2990687,-83.9697134,0,0,School Incidents,Killed: 0 Injured:0
2191234,12/16/21,Washington,Lynnwood,6002 168th St SW,Washington Lynnwood 6002 168th St SW,47.8456523,-122.3154057,0,0,School Incidents,Killed: 0 Injured:0
2190227,12/15/21,Texas,San Antonio,9411 Military Dr W,Texas San Antonio 9411 Military Dr W,29.4633075,-98.6684816,0,0,School Incidents,Killed: 0 Injured:0
